TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES - FIDC;56.924.942/0001-10;ASA LP II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIM;2025-11-30;1051566;DIFERENCIAL DE SWAP A PAGAR;;;891795;;2026-02-28
CLASSES - FIDC;56.924.942/0001-10;ASA LP II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIM;2025-11-30;1051566;Valores a pagar;;;716287;;2026-02-28
CLASSES - FIDC;56.924.942/0001-10;ASA LP II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIM;2025-11-30;1051566;Valores a receber;;;25436;;2026-02-28
CLASSES - FIDC;57.325.152/0001-81;MAX 30 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1052572;Cotas de Fundos;0;0;14665434;;2026-02-28
CLASSES - FIDC;57.325.152/0001-81;MAX 30 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1052572;Valores a pagar;;;73919;;2026-02-28
CLASSES - FIDC;57.325.152/0001-81;MAX 30 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1052572;Valores a receber;;;29929;;2026-02-28
CLASSES - FIDC;57.519.386/0001-60;MAX 365 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1052571;Cotas de Fundos;0;0;5682754;;2026-02-28
CLASSES - FIDC;57.519.386/0001-60;MAX 365 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1052571;Valores a pagar;;;38277;;2026-02-28
CLASSES - FIDC;57.519.386/0001-60;MAX 365 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1052571;Valores a receber;;;103428;;2026-02-28
CLASSES - FIDC;58.364.147/0001-40;QUATÁ 60 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-11-30;1051439;Cotas de Fundos;0;0;13844191;;2026-02-28
CLASSES - FIDC;58.364.147/0001-40;QUATÁ 60 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-11-30;1051439;Valores a pagar;;;56924;;2026-02-28
CLASSES - FIDC;58.364.147/0001-40;QUATÁ 60 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-11-30;1051439;Valores a receber;;;2955;;2026-02-28
CLASSES - FIDC;58.900.579/0001-29;MONEE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA;2025-11-30;1059186;Cotas de Fundos;0;0;1535916236;;2026-02-28
CLASSES - FIDC;58.900.579/0001-29;MONEE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA;2025-11-30;1059186;Valores a pagar;;;11955;;2026-02-28
CLASSES - FIDC;58.900.579/0001-29;MONEE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA;2025-11-30;1059186;Valores a receber;;;16879;;2026-02-28
CLASSES - FIDC;59.213.700/0001-07;ITAUNA PIPELINE FIC FIDC - RESPONSABILIDADE LIMITADA;2025-11-30;1055270;Cotas de Fundos;0;0;24424172;;2026-02-28
CLASSES - FIDC;59.213.700/0001-07;ITAUNA PIPELINE FIC FIDC - RESPONSABILIDADE LIMITADA;2025-11-30;1055270;Valores a pagar;;;89848;;2026-02-28
CLASSES - FIDC;59.213.700/0001-07;ITAUNA PIPELINE FIC FIDC - RESPONSABILIDADE LIMITADA;2025-11-30;1055270;Valores a receber;;;2955;;2026-02-28
CLASSES - FIDC;59.657.112/0001-62;AJAX PLUS FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-11-30;1055151;Cotas de Fundos;0;1036048;10769755;;2026-02-28
CLASSES - FIDC;59.657.112/0001-62;AJAX PLUS FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-11-30;1055151;Disponibilidades;;;426;;2026-02-28
CLASSES - FIDC;59.657.112/0001-62;AJAX PLUS FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-11-30;1055151;Operações Compromissadas;;;185406;;2026-02-28
CLASSES - FIDC;59.657.112/0001-62;AJAX PLUS FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-11-30;1055151;Valores a pagar;;;23799;;2026-02-28
CLASSES - FIDC;59.657.112/0001-62;AJAX PLUS FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-11-30;1055151;Valores a receber;;;548;;2026-02-28
CLASSES - FIDC;60.369.537/0001-55;ASA FIC FIDC D1 RESPONSABILIDADE LIMITADA;2025-11-30;1051558;Cotas de Fundos;0;0;66847929;;2026-02-28
CLASSES - FIDC;60.369.537/0001-55;ASA FIC FIDC D1 RESPONSABILIDADE LIMITADA;2025-11-30;1051558;Valores a pagar;;;74232;;2026-02-28
CLASSES - FIDC;60.369.537/0001-55;ASA FIC FIDC D1 RESPONSABILIDADE LIMITADA;2025-11-30;1051558;Valores a receber;;;2637;;2026-02-28
CLASSES - FIDC;60.369.959/0001-20;ASA FUNDO DE INVESTIMENTO EM COTAS DE FIDC 30 RESPONSABILIDADE LIMITADA;2025-11-30;1051540;Cotas de Fundos;0;0;7476233;;2026-02-28
CLASSES - FIDC;60.369.959/0001-20;ASA FUNDO DE INVESTIMENTO EM COTAS DE FIDC 30 RESPONSABILIDADE LIMITADA;2025-11-30;1051540;Valores a pagar;;;14620;;2026-02-28
CLASSES - FIDC;60.369.959/0001-20;ASA FUNDO DE INVESTIMENTO EM COTAS DE FIDC 30 RESPONSABILIDADE LIMITADA;2025-11-30;1051540;Valores a receber;;;2637;;2026-02-28
CLASSES - FIDC;60.417.354/0001-68;MENESTYS VI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1056982;Cotas de Fundos;1057138;1091623;17589282;;2026-02-28
CLASSES - FIDC;60.417.354/0001-68;MENESTYS VI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1056982;Disponibilidades;;;606542;;2026-02-28
CLASSES - FIDC;60.417.354/0001-68;MENESTYS VI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1056982;Valores a pagar;;;10670;;2026-02-28
CLASSES - FIDC;60.417.354/0001-68;MENESTYS VI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1056982;Valores a receber;;;0;;2026-02-28
CLASSES - FIDC;60.430.405/0001-91;STARKE FIC DE FIDC MC MS;2025-11-30;1051570;Cotas de Fundos;0;0;21238332;;2026-02-28
CLASSES - FIDC;60.430.405/0001-91;STARKE FIC DE FIDC MC MS;2025-11-30;1051570;Valores a pagar;;;14124;;2026-02-28
CLASSES - FIDC;60.430.405/0001-91;STARKE FIC DE FIDC MC MS;2025-11-30;1051570;Valores a receber;;;1000100;;2026-02-28
CLASSES - FIDC;60.759.253/0001-75;BRADESCO ATHOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-11-30;1059395;Cotas de Fundos;;;41595677;;2026-02-28
CLASSES - FIDC;60.759.253/0001-75;BRADESCO ATHOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-11-30;1059395;Disponibilidades;;;0;;2026-02-28
CLASSES - FIDC;60.759.253/0001-75;BRADESCO ATHOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-11-30;1059395;Valores a pagar;;;34309;;2026-02-28
CLASSES - FIDC;60.759.253/0001-75;BRADESCO ATHOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-11-30;1059395;Valores a receber;;;82283;;2026-02-28
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1061323;Cotas de Fundos;;;34995997;;2026-02-28
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1061323;Outras aplicações;;;2772227;;2026-02-28
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1061323;Títulos Públicos;0;0;1104934;;2026-02-28
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1061323;Valores a pagar;;;67895;;2026-02-28
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1061323;Valores a receber;;;8557;;2026-02-28
CLASSES - FIDC;61.289.877/0001-39;ORRAM ALOCAÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITIDA;2025-11-30;1051492;Cotas de Fundos;0;0;54161109;;2026-02-28
CLASSES - FIDC;61.289.877/0001-39;ORRAM ALOCAÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITIDA;2025-11-30;1051492;Valores a pagar;;;7500;;2026-02-28
CLASSES - FIDC;61.289.877/0001-39;ORRAM ALOCAÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITIDA;2025-11-30;1051492;Valores a receber;;;23856;;2026-02-28
CLASSES - FIDC;61.331.497/0001-15;VERONA FUNDO DE INVESTIMENTOS EM COTA DE FUNDOS DE INVESTIMENTO EM DIRETIROS CREDITORIOS;2025-11-30;1052061;Cotas de Fundos;0;0;41120258;;2026-02-28
CLASSES - FIDC;61.331.497/0001-15;VERONA FUNDO DE INVESTIMENTOS EM COTA DE FUNDOS DE INVESTIMENTO EM DIRETIROS CREDITORIOS;2025-11-30;1052061;Valores a pagar;;;64072;;2026-02-28
CLASSES - FIDC;61.385.893/0001-25;FUNDO DE INVESTIMENTO EM COTAS DE FIDC SÊNIOR EXODUS INSTITUCIONAL - RESPONSABILIDADE LIMITADA;2025-11-30;1058867;Cotas de Fundos;0;0;131092191;;2026-02-28
CLASSES - FIDC;61.385.893/0001-25;FUNDO DE INVESTIMENTO EM COTAS DE FIDC SÊNIOR EXODUS INSTITUCIONAL - RESPONSABILIDADE LIMITADA;2025-11-30;1058867;Valores a pagar;;;29765;;2026-02-28
CLASSES - FIDC;61.385.893/0001-25;FUNDO DE INVESTIMENTO EM COTAS DE FIDC SÊNIOR EXODUS INSTITUCIONAL - RESPONSABILIDADE LIMITADA;2025-11-30;1058867;Valores a receber;;;161732;;2026-02-28
CLASSES - FIDC;61.653.345/0001-39;ARTESANAL BB I FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-11-30;1057182;Cotas de Fundos;;;156443127;;2026-02-28
CLASSES - FIDC;61.653.345/0001-39;ARTESANAL BB I FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-11-30;1057182;Disponibilidades;;;1000;;2026-02-28
CLASSES - FIDC;61.653.345/0001-39;ARTESANAL BB I FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-11-30;1057182;Valores a pagar;;;172979;;2026-02-28
CLASSES - FIDC;61.653.345/0001-39;ARTESANAL BB I FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-11-30;1057182;Valores a receber;;;0;;2026-02-28
CLASSES - FIDC;62.410.525/0001-52;ILLASI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1055920;Cotas de Fundos;;;85041198;;2026-02-28
CLASSES - FIDC;62.410.525/0001-52;ILLASI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1055920;Disponibilidades;;;10095;;2026-02-28
CLASSES - FIDC;62.410.525/0001-52;ILLASI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1055920;Valores a pagar;;;28017;;2026-02-28
CLASSES - FIDC;62.410.525/0001-52;ILLASI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-11-30;1055920;Valores a receber;;;0;;2026-02-28
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-11-30;1059146;Ações;0;0;15523696;;2026-02-28
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-11-30;1059146;Ações e outros TVM cedidos em empréstimo;;;3318452;;2026-02-28
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-11-30;1059146;Certificado ou recibo de depósito de valores mobiliários;0;0;603671;;2026-02-28
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-11-30;1059146;Mercado Futuro - Posições compradas;0;0;33026;;2026-02-28
