TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES - FIDC;24.331.364/0001-12;CIPA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-08-31;981288;Valores a pagar;;;6636;;2025-11-29
CLASSES - FIDC;24.331.364/0001-12;CIPA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-08-31;981288;Valores a receber;;;14004;;2025-11-29
CLASSES - FIDC;26.207.801/0001-16;AQUIRAZ FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2025-08-31;988184;Cotas de Fundos;0;0;44538319;;2025-11-29
CLASSES - FIDC;26.207.801/0001-16;AQUIRAZ FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2025-08-31;988184;Valores a pagar;;;21306;;2025-11-29
CLASSES - FIDC;26.207.801/0001-16;AQUIRAZ FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2025-08-31;988184;Valores a receber;;;18820;;2025-11-29
CLASSES - FIDC;27.500.576/0001-74;HOD MULTIPLICA 90 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;982686;Cotas de Fundos;13545000;36906485;550040540;;2025-11-29
CLASSES - FIDC;27.500.576/0001-74;HOD MULTIPLICA 90 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;982686;Disponibilidades;;;71495;;2025-11-29
CLASSES - FIDC;27.500.576/0001-74;HOD MULTIPLICA 90 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;982686;Títulos Públicos;0;8519;3986;;2025-11-29
CLASSES - FIDC;27.500.576/0001-74;HOD MULTIPLICA 90 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;982686;Valores a pagar;;;1391595;;2025-11-29
CLASSES - FIDC;27.500.576/0001-74;HOD MULTIPLICA 90 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;982686;Valores a receber;;;28331;;2025-11-29
CLASSES - FIDC;27.944.627/0001-57;RESQ II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2025-08-31;982399;Cotas de Fundos;0;0;384796716;;2025-11-29
CLASSES - FIDC;27.944.627/0001-57;RESQ II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2025-08-31;982399;Títulos Públicos;0;0;196689;;2025-11-29
