TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES - FIDC;59.975.984/0001-79;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DIGITAL CASH CONSIG C;2025-09-30;1005011;Valores a receber;;;1955;;2025-12-29
CLASSES - FIDC;60.369.537/0001-55;ASA FIC FIDC D1 RESPONSABILIDADE LIMITADA;2025-09-30;1004179;Cotas de Fundos;0;0;47720003;;2025-12-29
CLASSES - FIDC;60.369.537/0001-55;ASA FIC FIDC D1 RESPONSABILIDADE LIMITADA;2025-09-30;1004179;Valores a pagar;;;25578;;2025-12-29
CLASSES - FIDC;60.369.537/0001-55;ASA FIC FIDC D1 RESPONSABILIDADE LIMITADA;2025-09-30;1004179;Valores a receber;;;3712;;2025-12-29
CLASSES - FIDC;60.369.959/0001-20;ASA FUNDO DE INVESTIMENTO EM COTAS DE FIDC 30 RESPONSABILIDADE LIMITADA;2025-09-30;1004126;Cotas de Fundos;0;0;4870588;;2025-12-29
CLASSES - FIDC;60.369.959/0001-20;ASA FUNDO DE INVESTIMENTO EM COTAS DE FIDC 30 RESPONSABILIDADE LIMITADA;2025-09-30;1004126;Valores a pagar;;;8163;;2025-12-29
CLASSES - FIDC;60.369.959/0001-20;ASA FUNDO DE INVESTIMENTO EM COTAS DE FIDC 30 RESPONSABILIDADE LIMITADA;2025-09-30;1004126;Valores a receber;;;3712;;2025-12-29
CLASSES - FIDC;60.430.405/0001-91;STARKE FIC DE FIDC MC MS;2025-09-30;1004119;Cotas de Fundos;0;0;22614594;;2025-12-29
CLASSES - FIDC;60.430.405/0001-91;STARKE FIC DE FIDC MC MS;2025-09-30;1004119;Valores a pagar;;;29016;;2025-12-29
CLASSES - FIDC;60.430.405/0001-91;STARKE FIC DE FIDC MC MS;2025-09-30;1004119;Valores a receber;;;100;;2025-12-29
CLASSES - FIDC;60.741.989/0001-16;FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NAPOLI VESUVIO;2025-09-30;1005007;Cotas de Fundos;68612;267800;3568775;;2025-12-29
CLASSES - FIDC;60.741.989/0001-16;FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NAPOLI VESUVIO;2025-09-30;1005007;Disponibilidades;;;344;;2025-12-29
CLASSES - FIDC;60.741.989/0001-16;FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NAPOLI VESUVIO;2025-09-30;1005007;Valores a pagar;;;3000;;2025-12-29
CLASSES - FIDC;60.741.989/0001-16;FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NAPOLI VESUVIO;2025-09-30;1005007;Valores a receber;;;0;;2025-12-29
CLASSES - FIDC;60.759.253/0001-75;BRADESCO ATHOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-09-30;1010596;Cotas de Fundos;;;22600616;;2025-12-29
CLASSES - FIDC;60.759.253/0001-75;BRADESCO ATHOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-09-30;1010596;Disponibilidades;;;0;;2025-12-29
CLASSES - FIDC;60.759.253/0001-75;BRADESCO ATHOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-09-30;1010596;Valores a pagar;;;23123;;2025-12-29
CLASSES - FIDC;60.759.253/0001-75;BRADESCO ATHOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-09-30;1010596;Valores a receber;;;421;;2025-12-29
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-09-30;1013538;Cotas de Fundos;;;34927940;;2025-12-29
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-09-30;1013538;Outras aplicações;;;1814309;;2025-12-29
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-09-30;1013538;Títulos Públicos;0;1073817;1074562;;2025-12-29
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-09-30;1013538;Valores a pagar;;;52625;;2025-12-29
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-09-30;1013538;Valores a receber;;;2782;;2025-12-29
CLASSES - FIDC;61.289.877/0001-39;ORRAM ALOCAÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITIDA;2025-09-30;1003531;Cotas de Fundos;0;0;52581635;;2025-12-29
CLASSES - FIDC;61.289.877/0001-39;ORRAM ALOCAÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITIDA;2025-09-30;1003531;Valores a pagar;;;37787;;2025-12-29
CLASSES - FIDC;61.289.877/0001-39;ORRAM ALOCAÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITIDA;2025-09-30;1003531;Valores a receber;;;78608;;2025-12-29
CLASSES - FIDC;61.331.497/0001-15;VERONA FUNDO DE INVESTIMENTOS EM COTA DE FUNDOS DE INVESTIMENTO EM DIRETIROS CREDITORIOS;2025-09-30;1004183;Cotas de Fundos;0;0;39624713;;2025-12-29
CLASSES - FIDC;61.331.497/0001-15;VERONA FUNDO DE INVESTIMENTOS EM COTA DE FUNDOS DE INVESTIMENTO EM DIRETIROS CREDITORIOS;2025-09-30;1004183;Valores a pagar;;;42995;;2025-12-29
CLASSES - FIDC;61.385.893/0001-25;FUNDO DE INVESTIMENTO EM COTAS DE FIDC SÊNIOR EXODUS INSTITUCIONAL - RESPONSABILIDADE LIMITADA;2025-09-30;1009448;Cotas de Fundos;0;0;111777115;;2025-12-29
CLASSES - FIDC;61.385.893/0001-25;FUNDO DE INVESTIMENTO EM COTAS DE FIDC SÊNIOR EXODUS INSTITUCIONAL - RESPONSABILIDADE LIMITADA;2025-09-30;1009448;Valores a pagar;;;17248;;2025-12-29
CLASSES - FIDC;61.385.893/0001-25;FUNDO DE INVESTIMENTO EM COTAS DE FIDC SÊNIOR EXODUS INSTITUCIONAL - RESPONSABILIDADE LIMITADA;2025-09-30;1009448;Valores a receber;;;181225;;2025-12-29
CLASSES - FIDC;61.653.345/0001-39;ARTESANAL BB I FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-09-30;1011057;Cotas de Fundos;;;30216580;;2025-12-29
CLASSES - FIDC;61.653.345/0001-39;ARTESANAL BB I FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-09-30;1011057;Disponibilidades;;;18314344;;2025-12-29
CLASSES - FIDC;61.653.345/0001-39;ARTESANAL BB I FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-09-30;1011057;Valores a pagar;;;9823;;2025-12-29
CLASSES - FIDC;61.653.345/0001-39;ARTESANAL BB I FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-09-30;1011057;Valores a receber;;;0;;2025-12-29
CLASSES - FIDC;62.410.525/0001-52;ILLASI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-09-30;1006082;Cotas de Fundos;;;81700195;;2025-12-29
CLASSES - FIDC;62.410.525/0001-52;ILLASI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-09-30;1006082;Disponibilidades;;;4582;;2025-12-29
CLASSES - FIDC;62.410.525/0001-52;ILLASI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-09-30;1006082;Valores a pagar;;;13371;;2025-12-29
CLASSES - FIDC;62.410.525/0001-52;ILLASI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-09-30;1006082;Valores a receber;;;8166;;2025-12-29
CLASSES FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-09-30;1008973;Disponibilidades;;;19598;;2025-12-29
CLASSES FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-09-30;1008973;Investimento no Exterior;7329639;0;3925450301;;2025-12-29
CLASSES FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-09-30;1008973;Operações Compromissadas;;;1464322;;2025-12-29
