TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;07.110.975/0001-11;CLASSE ÚNICA DO OAK FUNDO DE  INVESTIMENTO FINANCEIRO MULTIMERCADO  CP INVESTIMENTO NO EXTERIOR;2025-09-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;240679.41;;;SDC;DI1 X DOL
CLASSES - FIF;07.110.975/0001-11;CLASSE ÚNICA DO OAK FUNDO DE  INVESTIMENTO FINANCEIRO MULTIMERCADO  CP INVESTIMENTO NO EXTERIOR;2025-09-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;30978658.86;;;SCP;DOL X PRE
CLASSES - FIF;08.771.962/0001-56;OITI FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR RESPONSABILIDADE LIMITADA;2025-09-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;178849779.18;;;SCP;DOL X PRE
CLASSES - FIF;08.771.962/0001-56;OITI FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR RESPONSABILIDADE LIMITADA;2025-09-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;250695207.57;;;SCE;DOL X REU
CLASSES - FIF;08.771.962/0001-56;OITI FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR RESPONSABILIDADE LIMITADA;2025-09-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;10422.44;;;SDC;DI1 X DOL
CLASSES - FIF;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-09-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;463699030.45;;;SEP;REU X PRE
CLASSES - FIF;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-09-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;50026148.37;;;SDE;DI1 X REU
CLASSES - FIF;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-09-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;102321427.18;;;SDP;DI1 X PRE
CLASSES - FIF;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-09-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1184634796.79;;;SCP;DOL X PRE
CLASSES - FIF;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-09-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1177593.74;;;SCE;DOL X REU
CLASSES - FIF;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-09-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;187486359.94;;;SDC;DI1 X DOL
CLASSES - FIF;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-09-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;531537169.52;;;Outros;999 X 999
CLASSES - FIF;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-09-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;829618206.82;;;SEP;REU X PRE
CLASSES - FIF;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-09-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;12333432.39;;;SLE;IAP X REU
CLASSES - FIF;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-09-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;35204976.35;;;SDP;DI1 X PRE
CLASSES - FIF;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-09-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;238111081.47;;;SDE;DI1 X REU
CLASSES - FIF;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-09-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1114353994.96;;;SCP;DOL X PRE
CLASSES - FIF;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-09-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3331184.14;;;SCE;DOL X REU
