TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES - FIDC;60.369.537/0001-55;ASA FIC FIDC D1 RESPONSABILIDADE LIMITADA;2025-10-31;1026741;Valores a pagar;;;201993;;2026-01-29
CLASSES - FIDC;60.369.537/0001-55;ASA FIC FIDC D1 RESPONSABILIDADE LIMITADA;2025-10-31;1026741;Valores a receber;;;3123;;2026-01-29
CLASSES - FIDC;60.369.959/0001-20;ASA FUNDO DE INVESTIMENTO EM COTAS DE FIDC 30 RESPONSABILIDADE LIMITADA;2025-10-31;1026707;Cotas de Fundos;0;0;4927774;;2026-01-29
CLASSES - FIDC;60.369.959/0001-20;ASA FUNDO DE INVESTIMENTO EM COTAS DE FIDC 30 RESPONSABILIDADE LIMITADA;2025-10-31;1026707;Valores a pagar;;;9141;;2026-01-29
CLASSES - FIDC;60.369.959/0001-20;ASA FUNDO DE INVESTIMENTO EM COTAS DE FIDC 30 RESPONSABILIDADE LIMITADA;2025-10-31;1026707;Valores a receber;;;3123;;2026-01-29
CLASSES - FIDC;60.417.354/0001-68;MENESTYS VI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1028804;Cotas de Fundos;660000;1674102;17847496;;2026-01-29
CLASSES - FIDC;60.417.354/0001-68;MENESTYS VI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1028804;Disponibilidades;;;126299;;2026-01-29
CLASSES - FIDC;60.417.354/0001-68;MENESTYS VI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1028804;Valores a pagar;;;6466;;2026-01-29
CLASSES - FIDC;60.417.354/0001-68;MENESTYS VI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1028804;Valores a receber;;;0;;2026-01-29
CLASSES - FIDC;60.430.405/0001-91;STARKE FIC DE FIDC MC MS;2025-10-31;1026375;Cotas de Fundos;0;0;22973449;;2026-01-29
CLASSES - FIDC;60.430.405/0001-91;STARKE FIC DE FIDC MC MS;2025-10-31;1026375;Valores a pagar;;;33509;;2026-01-29
CLASSES - FIDC;60.430.405/0001-91;STARKE FIC DE FIDC MC MS;2025-10-31;1026375;Valores a receber;;;100;;2026-01-29
CLASSES - FIDC;60.759.253/0001-75;BRADESCO ATHOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-10-31;1038055;Cotas de Fundos;;;30010026;;2026-01-29
CLASSES - FIDC;60.759.253/0001-75;BRADESCO ATHOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-10-31;1038055;Disponibilidades;;;0;;2026-01-29
CLASSES - FIDC;60.759.253/0001-75;BRADESCO ATHOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-10-31;1038055;Valores a pagar;;;30173;;2026-01-29
CLASSES - FIDC;60.759.253/0001-75;BRADESCO ATHOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-10-31;1038055;Valores a receber;;;34094;;2026-01-29
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1039724;Cotas de Fundos;;;35475716;;2026-01-29
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1039724;Outras aplicações;;;1839433;;2026-01-29
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1039724;Títulos Públicos;0;0;1085730;;2026-01-29
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1039724;Valores a pagar;;;68077;;2026-01-29
CLASSES - FIDC;61.237.208/0001-13;ANGRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1039724;Valores a receber;;;5609;;2026-01-29
CLASSES - FIDC;61.289.877/0001-39;ORRAM ALOCAÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITIDA;2025-10-31;1026013;Cotas de Fundos;0;0;53436598;;2026-01-29
CLASSES - FIDC;61.289.877/0001-39;ORRAM ALOCAÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITIDA;2025-10-31;1026013;Valores a pagar;;;7500;;2026-01-29
CLASSES - FIDC;61.289.877/0001-39;ORRAM ALOCAÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITIDA;2025-10-31;1026013;Valores a receber;;;40820;;2026-01-29
CLASSES - FIDC;61.331.497/0001-15;VERONA FUNDO DE INVESTIMENTOS EM COTA DE FUNDOS DE INVESTIMENTO EM DIRETIROS CREDITORIOS;2025-10-31;1026954;Cotas de Fundos;0;0;40251329;;2026-01-29
CLASSES - FIDC;61.331.497/0001-15;VERONA FUNDO DE INVESTIMENTOS EM COTA DE FUNDOS DE INVESTIMENTO EM DIRETIROS CREDITORIOS;2025-10-31;1026954;Valores a pagar;;;56102;;2026-01-29
